Make,Model,sale ,Fuel Type,Transmission,Color,Owner_a,Seller Type,Engine_a,Max Power,Max Torque,Drivetrain,Price USD,Kilometer,Length_a,Width,Height,Seating Capacity,Fuel Tank Capacity,Year_a
Skoda,Superb L&K TSI AT,4/29/2021,Gasolina,Automatic,White,Second,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,18000.00,70000,4861,1864,1483,5,17.424,2016
Audi,Q3 35 TDI quattro Premium Plus,4/10/2021,Diesel,Automatic,Silver,First,Individual,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD,25200.00,42000,4385,1831,1608,5,16.896,2017
Volkswagen,Polo Comfortline 1.5L (D),4/28/2021,Diesel,Manual,Red,First,Individual,1498 cc,89 bhp @ 4200 rpm,230 Nm @ 1500 rpm,FWD,4140.00,70000,3971,1682,1469,5,11.88,2015
Honda,City V,7/1/2021,Gasolina,Manual,Silver,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,10200.00,52890,4440,1695,1495,5,10.56,2018
Hyundai,Creta SX 1.6 AT CRDi,8/22/2021,Diesel,Automatic,White,First,Corporate,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,17100.00,72870,4270,1780,1665,5,14.52,2018
Hyundai,Elite i20 Asta 1.2,4/29/2021,Gasolina,Manual,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,8100.00,48591,3985,1734,1505,5,11.88,2017
Mahindra,XUV300 1.5 W6 [2019-2020],9/25/2020,Diesel,Manual,Silver,First,Individual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,11100.00,60888,3995,1821,1627,5,11.088,2019
Hyundai,Eon Era +,8/3/2021,Gasolina,Manual,Red,First,Individual,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,2520.00,48000,3495,1550,1500,5,8.448,2014
Tata,Nexon XM,5/27/2021,Gasolina,Manual,Grey,First,Individual,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,9120.00,20251,3994,1811,1607,5,11.616,2018
Hyundai,Verna 1.6 CRDI SX,5/2/2021,Diesel,Manual,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,7680.00,49000,4375,1700,1475,5,11.352,2015
Land Rover,Discovery Sport SE R-Dynamic,8/22/2021,Diesel,Automatic,White,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,71940.00,54200,4600,2069,1724,7,18.48,2020
Honda,City S Petrol,5/27/2021,Gasolina,Manual,White,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,8340.00,51292,4440,1695,1495,5,10.56,2017
Ford,Figo Trend 1.5L TDCi [2015-2016],7/3/2021,Diesel,Manual,Orange,Second,Individual,1498 cc,99 bhp @ 3750 rpm,215 Nm @ 1750 rpm,FWD,5580.00,89000,3886,1695,1525,5,10.56,2015
Toyota,Glanza V,4/30/2021,Gasolina,Manual,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,8820.00,55000,3995,1745,1510,5,9.768,2019
Hyundai,Alcazar Prestige 7 STR 1.5 Diesel,8/22/2021,Diesel,Manual,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,22188.00,20000,4500,1790,1675,7,13.2,2021
Honda,City V,6/13/2021,Gasolina,Manual,Bronze,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,8220.00,68500,4440,1695,1495,5,10.56,2016
Hyundai,Santa Fe 2WD AT [2014-2017],4/13/2021,Diesel,Automatic,White,First,Corporate,2199 cc,194 bhp @ 3800 rpm,437 Nm @ 1800 rpm,AWD,10500.00,99000,4690,1880,1690,7,16.896,2014
Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],5/1/2021,Diesel,Automatic,Bronze,First,Corporate,2755 cc,172 bhp @ 3400 rpm,360 Nm @ 1200 rpm,RWD,24480.00,110000,4735,1830,1795,7,14.52,2018
Toyota,Glanza G,8/22/2021,Gasolina,Manual,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,8400.00,19244,3995,1745,1510,5,9.768,2019
Maruti Suzuki,Wagon R VXi 1.2,7/26/2021,Gasolina,Manual,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,6600.00,19000,3655,1620,1675,5,8.448,2020
Hyundai,Santa Fe 2WD AT [2014-2017],7/3/2021,Diesel,Automatic,Silver,Second,Individual,2199 cc,194 bhp @ 3800 rpm,437 Nm @ 1800 rpm,AWD,9900.00,75000,4690,1880,1690,7,16.896,2015
Toyota,Innova 2.4 ZX 7 STR [2016-2020],6/28/2023,Diesel,Manual,White,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,37200.00,29000,4735,1830,1795,7,14.52,2021
Maruti Suzuki,Swift VXi,2/17/2019,Gasolina,Manual,White,Second,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,5100.00,80000,3850,1695,1530,5,11.088,2015
Lexus,NX 300h Luxury [2017-2020],5/29/2023,Gasolina,Automatic,Black,Second,Individual,2494 cc,194 bhp @ 5700 rpm,210 Nm @ 4200 rpm,AWD,52500.00,54500,4640,1845,1645,5,14.784,2018
Toyota,Innova ZX 2.4 AT 7 STR,2/17/2022,Diesel,Automatic,Purple,First,Individual,2393 cc,148 bhp @ 3400 rpm,360 Nm @ 1400 rpm,RWD,36000.00,38000,4735,1830,1795,7,14.52,2021
Mercedes-Benz,GLC 200 Progressive,2/17/2022,Gasolina,Automatic,White,First,Individual,1991 cc,194 bhp @ 5500 rpm,320 Nm @ 1650 rpm,RWD,79200.00,16785,4658,1890,1644,5,17.424,2021
Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],10/10/2022,Diesel,Manual,Blue,Second,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,7680.00,52000,3995,1790,1640,5,12.672,2016
Hyundai,Elite i20 Sportz 1.2 [2016-2017],8/14/2023,Gasolina,Manual,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,8340.00,42678,3985,1734,1505,5,11.88,2019
Renault,Duster 110 PS RxL,3/21/2024,Diesel,Manual,Grey,Second,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,8280.00,65000,4315,1822,1695,5,13.2,2016
Volkswagen,Taigun Highline 1.0 TSI AT,2/17/2024,Gasolina,Automatic,Silver,First,Individual,999 cc,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,18000.00,31000,4221,1760,1612,5,13.2,2021
Maruti Suzuki,Alto VXi,11/11/2018,Gasolina,Manual,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3240.00,82682,3620,1475,1460,5,9.24,2014
Hyundai,i20 Active 1.4 S,1/6/2024,Diesel,Manual,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,6540.00,70500,3995,1760,1555,5,11.88,2016
MG,Hector Plus Sharp 1.5 DCT Petrol,6/21/2023,Gasolina,Automatic,Red,First,Individual,1451 cc,141 bhp @ 5000 rpm,250 Nm @ 1600 rpm,FWD,22500.00,10000,4720,1835,1760,6,15.84,2021
Renault,Kwid RXT [2015-2019],2/17/2019,Gasolina,Manual,Silver,First,Individual,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3060.00,57159,3679,1579,1478,5,7.392,2016
BMW,3-Series 320d Sport Line [2014-2016],7/30/2022,Diesel,Automatic,White,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,24000.00,82000,4624,2031,1429,5,0,2014
Land Rover,Discovery HSE,1/26/2022,Diesel,Automatic,Blue,First,Individual,2993 cc,245 bhp @ 4000 rpm,600 Nm @ 2000 rpm,AWD,33420.00,120000,4838,1915,1837,7,21.648,2016
Mahindra,Thar LX 4-STR Hard Top Diesel MT,10/4/2021,Diesel,Manual,Black,First,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,21600.00,17000,3985,1820,1844,4,15.048,2021
Hyundai,Elite i20 Sportz 1.2 (O),10/6/2021,Gasolina,Manual,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7800.00,58100,3985,1734,1505,5,11.88,2020
Mahindra,Scorpio S2,2/16/2022,Diesel,Manual,White,Second,Individual,2523 cc,75 bhp @ 3200 rpm,200 Nm @ 1400 rpm,RWD,9540.00,86000,4456,1820,1930,8,15.84,2015
Mercedes-Benz,C-Class C 200 Avantgarde,7/30/2022,Gasolina,Automatic,Black,Second,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,28620.00,60921,4686,1810,1442,5,17.424,2015
Audi,Q5 2.0 TDI quattro Premium,8/23/2021,Diesel,Automatic,Brown,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,20400.00,78000,4629,1898,1653,5,19.8,2014
Renault,Kwid 1.0 RXT [2016-2019],3/19/2022,Gasolina,Manual,Red,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3540.00,34736,3679,1579,1478,5,7.392,2016
Tata,Harrier XZ,1/6/2022,Diesel,Manual,Silver,First,Individual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,21000.00,14400,4598,1894,1706,5,13.2,2020
Mahindra,Thar CRDe 4x4 Non AC,10/29/2021,Diesel,Manual,Green,Second,Individual,2498 cc,105@3800,247@1800,AWD,6300.00,85000,3920,1710,1930,7,15.84,2015
Audi,A3 35 TFSI Premium Plus,10/25/2021,Gasolina,Automatic,Blue,First,Individual,1395 cc,148 bhp @ 5000 rpm,250 Nm @ 1500 rpm,FWD,26160.00,77590,4456,1796,1416,5,13.2,2018
Ford,Mustang GT Fastback 5.0L v8,5/23/2022,Gasolina,Automatic,Black,Third,Individual,4951 cc,396 bhp @ 6500 rpm,515 Nm @ 4250 rpm,RWD,96000.00,25000,4784,2080,1391,4,16.0776,2017
Jaguar,F-Pace Prestige,10/6/2021,Diesel,Automatic,Grey,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,51900.00,40545,4731,2071,1651,5,21.648,2018
Maruti Suzuki,DZire ZXi Plus AMT,1/30/2022,Gasolina,Automatic,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,8820.00,42000,3995,1735,1515,5,9.768,2018
Skoda,Rapid Style 1.6 MPI AT,10/31/2021,Gasolina,Automatic,Grey,Second,Individual,1598 cc,104 bhp @ 5200 rpm,153 Nm @ 3750 rpm,FWD,10800.00,55000,4413,1699,1466,5,14.52,2018
Skoda,Superb Elegance 1.8 TSI AT,7/30/2022,Gasolina,Automatic,White,Second,Individual,1798 cc,158 bhp @ 4500 rpm,250 Nm @ 1500 rpm,FWD,9540.00,53000,4838,1817,1482,5,15.84,2014
MINI,Cooper D 3 Door,12/4/2021,Diesel,Automatic,Green,First,Individual,1496 cc,114 bhp @ 4000 rpm,270 Nm @ 1750 rpm,FWD,39600.00,17000,3821,1727,1414,5,11.616,2018
Toyota,Fortuner 2.8 4x2 AT [2016-2020],3/5/2022,Diesel,Automatic,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,45300.00,50000,4795,1855,1835,7,21.12,2020
Maruti Suzuki,Vitara Brezza VDi,7/30/2022,Diesel,Manual,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,8700.00,75793,3995,1790,1640,5,12.672,2017
Maruti Suzuki,Vitara Brezza VDi (O) [2016-2018],10/27/2021,Diesel,Manual,Grey,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,9420.00,80000,3995,1790,1640,5,12.672,2018
Porsche,Macan S [2019-2020],3/5/2022,Gasolina,Automatic,Blue,First,Individual,2995 cc,349 bhp @ 5400 rpm,480 Nm @ 1360 rpm,AWD,90000.00,38000,4696,1923,1624,5,17.16,2020
Toyota,Fortuner 2.8 4x2 AT [2016-2020],3/4/2022,Diesel,Automatic,White,Second,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,33588.00,69500,4795,1855,1835,7,21.12,2019
Maruti Suzuki,Wagon R VXI,12/19/2021,Gasolina,Manual,Others,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,4680.00,66794,3599,1495,1700,5,9.24,2018
Porsche,Macan Base [2019-2020],10/25/2021,Gasolina,Automatic,Red,First,Corporate,1984 cc,248 bhp @ 5000 rpm,370 Nm @ 1600 rpm,AWD,108000.00,27000,4696,1923,1624,5,17.16,2019
Maruti Suzuki,Baleno Zeta 1.2 AT,12/4/2021,Gasolina,Automatic,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,8100.00,35616,3995,1745,1500,5,9.768,2017
Maruti Suzuki,Eeco 5 STR [2014-2019],11/8/2021,Gasolina,Manual,Blue,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3840.00,64000,3675,1475,1800,5,10.56,2015
Maruti Suzuki,Baleno Zeta 1.2 AT,10/25/2021,Gasolina,Automatic,Maroon,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,10080.00,7000,3995,1745,1500,5,9.768,2020
Maruti Suzuki,Wagon R VXI,11/5/2021,Gasolina,Manual,Brown,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3720.00,45000,3599,1495,1700,5,9.24,2015
Maruti Suzuki,Ertiga LXI,11/8/2021,Gasolina,Manual,Grey,First,Individual,1373 cc,94 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,9540.00,9000,4296,1695,1685,7,11.88,2017
Toyota,Glanza G,3/4/2022,Gasolina,Manual,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,10320.00,11030,3995,1745,1510,5,9.768,2021
Hyundai,i10 Magna 1.2 Kappa2,6/14/2022,Gasolina,Manual,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,4680.00,49123,3585,1595,1550,5,9.24,2015
Maruti Suzuki,Swift DZire LDI,3/4/2022,Diesel,Manual,White,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,6240.00,46000,3995,1695,1555,5,11.088,2018
Maruti Suzuki,Vitara Brezza VDi (O) [2016-2018],9/7/2021,Diesel,Manual,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,8100.00,64000,3995,1790,1640,5,12.672,2018
Maruti Suzuki,S-Presso VXi,7/3/2021,Gasolina,Manual,Red,First,Individual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,5700.00,7942,3565,1520,1564,5,7.128,2021
Maruti Suzuki,Alto 800 Lxi,6/24/2021,Gasolina,Manual,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3180.00,52100,3395,1490,1475,5,9.24,2017
Skoda,Rapid Ambition 1.6 TDI CR MT,4/30/2021,Diesel,Manual,Silver,First,Individual,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,11400.00,32809,4386,1699,1466,5,14.52,2019
Toyota,Fortuner 3.0 4x2 AT,7/3/2021,Diesel,Automatic,White,First,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,21000.00,101000,4705,1840,1850,7,21.12,2014
Audi,A3 35 TDI Premium Plus + Sunroof,6/10/2021,Diesel,Automatic,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,26700.00,40500,4456,1796,1416,5,13.2,2016
Jeep,Compass Sport 1.4 Petrol,6/24/2021,Gasolina,Manual,Black,First,Corporate,1368 cc,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,20988.00,25700,4395,1818,1640,5,15.84,2021
Mercedes-Benz,M-Class ML 250 CDI,4/29/2021,Diesel,Automatic,White,Second,Individual,2143 cc,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,27000.00,85000,4804,2141,1796,5,18.48,2014
Hyundai,Elite i20 Asta 1.2 (O) [2016],4/10/2021,Gasolina,Manual,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,8280.00,17268,3985,1734,1505,5,11.88,2017
Maruti Suzuki,Baleno Zeta 1.2,4/28/2021,Gasolina,Manual,Brown,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,6732.00,68000,3995,1745,1500,5,9.768,2017
Jeep,Compass Longitude (O) 2.0 Diesel [2017-2020],7/1/2021,Diesel,Manual,White,First,Individual,,,,,18960.00,57000,4395,1818,1640,5,15.84,2020
Maruti Suzuki,Swift DZire VXI AT,8/22/2021,Gasolina,Automatic,Silver,First,Corporate,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7140.00,44100,3995,1695,1555,5,11.088,2017
Hyundai,i20 Magna (O) 1.2,4/29/2021,Gasolina,Manual,Brown,First,Individual,1197 cc,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,5400.00,23000,3995,1710,1505,5,11.88,2014
BMW,5-Series 520d Modern Line,9/25/2020,Diesel,Automatic,White,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,27588.00,58000,4899,2094,1464,5,0,2014
Mercedes-Benz,GLE 250 d,8/3/2021,Diesel,Automatic,Black,First,Individual,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD,55080.00,95786,4819,2141,1796,5,24.552,2018
Audi,Q3 35 TDI Technology,5/27/2021,Diesel,Automatic,Black,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,25800.00,95401,4385,1831,1608,5,16.896,2016
Kia,Seltos GTX Plus 1.4 DCT,5/2/2021,Gasolina,Automatic,Black,First,Individual,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,22200.00,7000,4315,1800,1645,5,13.2,2020
Hyundai,Elantra SX (O) 2.0 AT,8/22/2021,Gasolina,Automatic,White,First,Individual,1999 cc,150 bhp @ 6200 rpm,192 Nm @ 4000 rpm,FWD,14100.00,24000,4620,1800,1465,5,13.2,2017
Hyundai,Accent Executive,5/27/2021,Gasolina,Manual,White,First,Individual,1495 cc,94 bhp @ 5500 rpm,125 Nm @ 3500 rpm,FWD,4800.00,41273,4250,1670,1370,5,11.88,2015
Audi,Q5 35 TDI Premium Plus,7/3/2021,Diesel,Automatic,White,First,Individual,,,,,48000.00,66000,,,,,0,2018
Hyundai,Creta SX 1.6 CRDi,4/30/2021,Diesel,Manual,Red,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,13200.00,65954,4270,1780,1665,5,14.52,2018
Hyundai,i10 Sportz 1.2 Kappa2,8/22/2021,Gasolina,Manual,Maroon,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,4740.00,28000,3585,1595,1550,5,9.24,2016
Maruti Suzuki,S-Presso VXi Plus,6/13/2021,Gasolina,Manual,Silver,First,Individual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,5100.00,38848,3565,1520,1564,5,7.128,2021
Toyota,Innova 2.4 ZX 7 STR [2016-2020],4/13/2021,Diesel,Manual,Maroon,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,26280.00,30000,4735,1830,1795,7,14.52,2017
Maruti Suzuki,Swift DZire LXI (O),5/1/2021,Gasolina,Manual,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,5052.00,69000,3995,1695,1555,5,11.088,2017
Hyundai,i20 Active 1.2 SX,8/22/2021,Gasolina,Manual,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,6720.00,22700,3995,1760,1555,5,11.88,2016
Honda,Civic 1.8V MT,7/26/2021,Gasolina,Manual,Grey,First,Individual,,,,,9324.00,9212,,,,,0,2014
Audi,Q3 35 TDI quattro Technology,7/3/2021,Diesel,Automatic,White,Second,Individual,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD,39000.00,41000,4385,1831,1608,5,16.896,2019
Mahindra,Scorpio S10,12/7/2020,Diesel,Manual,Red,Second,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,10500.00,100000,4456,1820,1995,8,15.84,2014
Maruti Suzuki,Ciaz Alpha 1.4 MT,6/8/2021,Gasolina,Manual,Grey,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,10788.00,13066,4490,1730,1485,5,11.352,2018
Renault,Duster 85 PS RxL,4/30/2021,Diesel,Manual,Black,First,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,5100.00,75000,4315,1822,1695,5,13.2,2015
Maruti Suzuki,S-Presso VXi (O),6/24/2021,Gasolina,Manual,Grey,First,Individual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,5100.00,53241,3565,1520,1564,5,7.128,2019
MINI,Countryman Cooper S JCW Inspired,7/31/2021,Gasolina,Automatic,Green,First,Individual,1998 cc,189 bhp @ 4400 rpm,280 Nm @ 1350 rpm,FWD,46500.00,12000,4299,1822,1557,5,12.408,2021
Toyota,Innova 2.7 ZX AT 7 STR,5/2/2021,Gasolina,Automatic,Maroon,Second,Individual,2694 cc,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,RWD,21480.00,49000,4735,1830,1795,7,17.16,2017
Honda,Amaze 1.5 VX i-DTEC,2/14/2021,Diesel,Manual,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,11220.00,56000,3990,1680,1505,5,9.24,2019
Maruti Suzuki,Baleno Alpha Automatic,2/28/2020,Gasolina,Automatic,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,9300.00,39000,3995,1745,1510,5,9.768,2018
Mahindra,Scorpio S4 1.99 [2016-2017],4/18/2020,Diesel,Manual,White,Second,Individual,1997 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,11400.00,55000,4456,1820,1995,8,15.84,2017
Hyundai,Grand i10 Magna AT 1.2 Kappa VTVT,9/13/2019,Gasolina,Automatic,White,Second,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,6588.00,53000,3765,1660,1520,5,11.352,2018
Mercedes-Benz,C-Class C 220d Progressive [2018-2019],6/28/2020,Diesel,Automatic,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,40800.00,68000,4686,1810,1442,5,17.424,2018
Hyundai,Elite i20 Sportz 1.2 [2016-2017],1/1/2020,Gasolina,Manual,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7740.00,35000,3985,1734,1505,5,11.88,2019
BMW,5-Series 520d M Sport,8/27/2019,Diesel,Automatic,White,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,31200.00,39000,4899,2094,1464,5,17.16,2016
Honda,City V CVT Petrol [2017-2019],2/13/2020,Gasolina,Automatic,Black,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,16080.00,11000,4440,1695,1495,5,10.56,2021
Maruti Suzuki,Swift ZXi Plus [2018-2019],6/28/2023,Gasolina,Manual,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,10080.00,11000,3840,1735,1530,5,9.768,2020
Maruti Suzuki,Swift DZire VXI,2/17/2020,Gasolina,Manual,Grey,Second,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,6300.00,102000,3995,1695,1555,5,11.088,2014
Maruti Suzuki,Eeco 7 STR STD (O),5/29/2023,Gasolina,Manual,Grey,First,Individual,1196 cc,72 bhp @ 6000 rpm,98 Nm @ 3000 rpm,RWD,7500.00,7000,3675,1475,1825,7,10.56,2022
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2/17/2020,Gasolina,Manual,Silver,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,7140.00,25000,3765,1660,1520,5,11.352,2019
Audi,A4 Premium Plus 40 TFSI,2/17/2023,Gasolina,Automatic,White,First,Individual,1984 cc,188 bhp @ 4200 rpm,320 Nm @ 1450 rpm,FWD,49800.00,22000,4762,1847,1433,5,14.256,2022
Maruti Suzuki,Swift VDi,10/10/2019,Diesel,Manual,Blue,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,9000.00,65000,3840,1735,1530,5,9.768,2018
Renault,Duster 110 PS RXZ 4X2 MT Diesel,8/14/2023,Diesel,Manual,White,First,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,5400.00,2000000,4315,1822,1695,5,13.2,2016
BMW,X5 xDrive30d Pure Experience (5 Seater),3/21/2024,Diesel,Automatic,White,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,50100.00,27011,4886,1938,1762,5,0,2016
Jaguar,XE Prestige Diesel,2/17/2020,Diesel,Automatic,Red,Second,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,RWD,32400.00,45545,4795,1967,1416,5,14.784,2018
Mercedes-Benz,GLE 350 d,11/11/2020,Diesel,Automatic,Black,First,Individual,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,73800.00,18000,4819,2141,1796,5,24.552,2018
Volkswagen,Polo Comfortline 1.2L (P),1/6/2024,Gasolina,Manual,Grey,First,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,6780.00,72782,3970,1682,1453,5,11.88,2014
Maruti Suzuki,Alto VXi [2014-2019],6/21/2023,Gasolina,Manual,Grey,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,4428.00,16800,3545,1490,1475,5,9.24,2017
Toyota,Yaris V CVT,2/17/2021,Gasolina,Automatic,Red,First,Corporate,1496 cc,106 bhp @ 6000 rpm,140 Nm @ 4200 rpm,FWD,13080.00,40900,4425,1730,1495,5,11.088,2019
Honda,WR-V VX MT Petrol,2/17/2020,Gasolina,Manual,White,First,Corporate,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,6960.00,39000,3999,1734,1601,5,10.56,2017
BMW,X1 sDrive20d xLine,10/26/2023,Diesel,Automatic,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,26388.00,77000,4454,2044,1545,5,16.632,2016
